Time, Distance, CarPositionX, CarPositionY, CarPositionZ, Speed
0, 67.34563, -68.06, 0.044, 136.003, 0
0.02, 67.34561, -68.06, 0.044, 136.003, 0
0.2721864, 67.34551, -68.06, 0.044, 136.003, 0
0.4813012, 67.34525, -68.06, 0.044, 136.003, 0
0.6176304, 67.34571, -68.06, 0.044, 136.003, 0
0.732277, 67.34603, -68.06, 0.044, 136.003, 0
0.8451127, 67.34544, -68.06, 0.044, 136.003, 0
0.9525118, 67.34575, -68.06, 0.044, 136.003, 0
1.067572, 67.34583, -68.06, 0.044, 136.003, 0
1.182115, 67.34583, -68.06, 0.044, 136.003, 0
1.290468, 67.34583, -68.06, 0.044, 136.003, 0
1.403068, 67.34583, -68.06, 0.044, 136.003, 0
1.51107, 67.34583, -68.06, 0.044, 136.003, 0
1.618109, 67.34583, -68.06, 0.044, 136.003, 0
1.726842, 67.34583, -68.06, 0.044, 136.003, 0
1.830603, 67.34583, -68.06, 0.044, 136.003, 0
1.983755, 67.34583, -68.06, 0.044, 136.003, 0
2.107222, 67.34583, -68.06, 0.044, 136.003, 0
2.25153, 67.34583, -68.06, 0.044, 136.003, 0
2.37548, 67.34583, -68.06, 0.044, 136.003, 0
2.499919, 67.34583, -68.06, 0.044, 136.003, 0
2.616089, 67.34583, -68.06, 0.044, 136.003, 0
2.717202, 67.34583, -68.06, 0.044, 136.003, 0
2.845311, 67.34583, -68.06, 0.044, 136.003, 0
2.986279, 67.34583, -68.06, 0.044, 136.003, 0
3.112323, 67.34583, -68.06, 0.044, 136.003, 0
3.213667, 67.34583, -68.06, 0.044, 136.003, 0
3.324986, 67.34583, -68.06, 0.044, 136.003, 0
3.433466, 67.34583, -68.06, 0.044, 136.003, 0
3.525368, 67.34583, -68.06, 0.044, 136.003, 0
3.629758, 67.34583, -68.06, 0.044, 136.003, 0
3.716988, 67.34583, -68.06, 0.044, 136.003, 0
3.801845, 67.34583, -68.06, 0.044, 136.003, 0
3.906091, 67.34583, -68.06, 0.044, 136.003, 0
4.001103, 67.34583, -68.06, 0.044, 136.003, 0
4.088999, 67.34583, -68.06, 0.044, 136.003, 0
4.181977, 67.34583, -68.06, 0.044, 136.003, 0
4.314724, 67.34167, -68.06, 0.044, 136.003, 0
4.448081, 39.11924, -36.70046, -0.1776952, 125.3671, 893.9359
4.584587, 39.62315, -37.22159, -0.1323636, 125.7172, 16.60013
4.686319, 40.13266, -37.76123, -0.09096883, 126.0667, 22.79958
4.79266, 40.47444, -38.16669, -0.06277555, 126.3224, 16.25528
4.88274, 40.81736, -38.59344, -0.03566534, 126.5853, 20.05927
5.017083, 41.04869, -38.95728, -0.01459325, 126.8042, 11.39359
5.112016, 41.46827, -39.5032, 0.01416981, 127.1255, 24.04608
5.22133, 41.66308, -39.89112, 0.03276919, 127.349, 14.75637
5.305161, 41.96445, -40.34015, 0.0523262, 127.6024, 22.15706
5.432686, 42.06124, -40.68621, 0.06598193, 127.7938, 11.17006
5.523805, 42.36557, -41.2146, 0.08521917, 128.0814, 23.78057
5.625004, 42.50543, -41.59383, 0.09766796, 128.2839, 15.29942
5.70417, 42.72323, -42.0162, 0.1105835, 128.5066, 21.72093
5.801103, 42.78362, -42.34827, 0.1194347, 128.6776, 13.87748
5.886147, 42.9597, -42.75557, 0.1297587, 128.8858, 19.36706
5.995445, 43.01599, -43.11405, 0.1379862, 129.0662, 13.22168
6.074773, 43.223, -43.57645, 0.1473461, 129.2948, 23.41088
6.193758, 43.17484, -43.91246, 0.1538534, 129.4599, 11.32883
6.272048, 43.41565, -44.41887, 0.1619195, 129.7025, 25.82407
6.395659, 43.36371, -44.75273, 0.1667904, 129.8608, 10.76191
6.495363, 43.56888, -45.28128, 0.1735236, 130.1078, 21.06637
6.594438, 43.67766, -45.70932, 0.1778491, 130.3033, 17.09996
6.669068, 43.84913, -46.13525, 0.1817801, 130.4963, 22.55736
6.763233, 43.86048, -46.45715, 0.1840818, 130.6393, 13.46697
6.845767, 44.01758, -46.86373, 0.1867401, 130.8189, 19.38628
6.984894, 43.95195, -47.22126, 0.1883814, 130.9735, 10.08015
7.11347, 44.18986, -47.82507, 0.1905253, 131.2317, 18.38618
7.25715, 44.33308, -48.38451, 0.1917113, 131.4669, 15.20567
7.379133, 44.60328, -49.01228, 0.1916795, 131.7234, 20.01439
7.523424, 44.67905, -49.54665, 0.1909681, 131.9378, 14.36471
7.65646, 44.96735, -50.18046, 0.1893232, 132.187, 18.42938
7.761714, 45.21405, -50.76643, 0.1870912, 132.4126, 21.47695
7.855865, 45.4522, -51.23151, 0.1847051, 132.5873, 18.99567
7.990517, 45.49012, -51.64822, 0.1823051, 132.7417, 11.88114
8.128067, 45.70799, -52.24545, 0.1783973, 132.959, 16.63393
8.277304, 45.94566, -52.85756, 0.173696, 133.1754, 15.66138
8.38365, 46.29072, -53.52359, 0.1679985, 133.4046, 23.84473
8.558468, 46.36023, -53.99936, 0.1636066, 133.5645, 10.33667
