X,Y
-256.997,-0.05787719
-256.9881,-0.05815632
-256.9818,-0.05784147
-256.9722,-0.05800682
-256.9701,-0.05789096
-256.9696,-0.05799622
-256.9683,-0.05794258
-256.9655,-0.05795988
-256.9646,-0.05800883
-256.9504,-0.05794038
-256.9498,-0.05801577
-256.9421,-0.05807972
-256.9409,-0.05801555
-256.9402,-0.05787209
-256.9193,-0.05787005
-256.918,-0.05798959
-256.9146,-0.05795048
-256.914,-0.05795013
-256.9111,-0.05798398
-256.9102,-0.05811544
-256.9089,-0.0579692
-256.8961,-0.05791403
-256.8838,-0.05805222
-256.8828,-0.05787478
-256.8821,-0.05800364
-256.8818,-0.05803139
-256.8684,-0.05785596
-256.8676,-0.05792651
-256.8602,-0.05808346
-256.8585,-0.05793376
-256.8409,-0.05808489
-256.8402,-0.05792451
-256.8394,-0.05805394
-256.8289,-0.05808474
-256.8245,-0.05788803
-256.8177,-0.05785357
-256.8166,-0.05802337
-256.8148,-0.0579865
-256.8146,-0.05800828
-256.8037,-0.0579856
-256.7953,-0.05803854
-256.786,-0.05813663
-256.7831,-0.05793249
-256.7801,-0.05792125
-256.776,-0.05807966
-256.7731,-0.05790008
-256.7691,-0.05789892
-256.7643,-0.05786982
-256.7495,-0.057927
-256.7471,-0.05800583
-256.7466,-0.05793843
-256.7463,-0.05799235
-256.7425,-0.05790884
-256.7285,-0.058168
-256.718,-0.05789202
-256.7155,-0.05789218
-256.7116,-0.05789211
-256.708,-0.05793435
-256.7061,-0.0579818
-256.6931,-0.05792509
-256.6918,-0.05806246
-256.6908,-0.05802043
-256.6904,-0.05802359
-256.6899,-0.0579635
-256.6785,-0.05795682
-256.6706,-0.05792931
-256.6703,-0.05816308
-256.6621,-0.05795321
-256.6497,-0.05795609
-256.6374,-0.05792764
-256.6319,-0.05804284
-256.6221,-0.0578521
-256.6182,-0.0579313
-256.616,-0.05789004
-256.6129,-0.05792381
-256.6096,-0.05797221
-256.6095,-0.0579518
-256.6078,-0.05800778
-256.604,-0.05795185
-256.5838,-0.05786113
-256.5801,-0.05794193
