Time, Distance, CarPositionX, CarPositionY, CarPositionZ, Speed
0, 65.85883, -16.93222, -0.0520454, 88.52071, 27.35388
0.02, 37.50751, -16.8574, -0.09135556, 88.643, 26.75783
0.284359, 35.79499, -16.92969, -0.1142611, 90.62721, 27.04045
0.4701168, 35.64801, -17.19828, -0.1021287, 92.02203, 27.52936
0.6257951, 35.30127, -17.46851, -0.09941739, 93.23839, 28.81354
0.8060388, 34.67466, -17.81024, -0.09801257, 94.61636, 28.356
0.9507041, 34.43869, -18.10222, -0.09755778, 95.68607, 27.59358
1.041811, 34.33582, -18.3247, -0.0969528, 96.44673, 31.31587
1.192643, 33.69827, -18.65706, -0.0959264, 97.50583, 26.49353
1.366202, 33.02011, -19.11897, -0.09508955, 98.8578, 29.63456
1.522191, 32.58614, -19.558, -0.09473622, 100.0504, 29.32974
1.685841, 32.07259, -20.01741, -0.09459943, 101.2358, 27.96697
1.817135, 31.89274, -20.37123, -0.09456497, 102.1214, 26.14838
1.89292, 31.8713, -20.61002, -0.09455311, 102.7107, 30.20264
2.004009, 31.31193, -20.97488, -0.09448659, 103.5918, 30.90491
2.067273, 31.35588, -21.16273, -0.09440243, 104.03, 27.13186
2.158809, 31.04101, -21.42028, -0.09423417, 104.6113, 25.00319
2.212466, 30.99887, -21.61913, -0.09406894, 105.0446, 31.99047
2.274708, 30.7895, -21.82296, -0.09387326, 105.4757, 27.57851
2.368314, 30.31915, -22.17373, -0.09348577, 106.1889, 30.56528
2.416743, 30.43387, -22.31783, -0.09331143, 106.4723, 23.63369
2.467413, 30.19955, -22.53793, -0.09303093, 106.8953, 33.88469
2.551623, 29.82454, -22.83861, -0.09262413, 107.4558, 27.18813
2.599993, 29.89697, -22.99194, -0.09240788, 107.7344, 23.66871
2.65501, 29.66076, -23.2256, -0.09206825, 108.1503, 31.21735
2.758737, 29.15229, -23.62444, -0.09146529, 108.8383, 27.60029
2.812009, 29.1598, -23.86921, -0.09108388, 109.248, 32.24935
2.884857, 28.79269, -24.20174, -0.09055299, 109.7906, 31.44992
2.92825, 28.81366, -24.37059, -0.09027869, 110.0604, 26.40314
2.97504, 28.70403, -24.54112, -0.08999825, 110.3291, 24.48847
3.050877, 28.30692, -24.88715, -0.08942318, 110.8635, 30.22239
3.102194, 28.18948, -25.15093, -0.08897829, 111.2617, 33.50328
3.154974, 28.11451, -25.32877, -0.08867627, 111.5258, 21.71898
3.23454, 27.7427, -25.68918, -0.08805698, 112.051, 28.81973
3.283477, 27.64139, -25.96354, -0.08758175, 112.4422, 35.14991
3.330248, 27.55551, -26.14837, -0.08725947, 112.7017, 24.52189
3.403592, 27.15624, -26.52254, -0.08660215, 113.2175, 31.2798
3.447681, 27.17876, -26.71188, -0.08626765, 113.4739, 26.02174
3.496198, 27.07122, -26.9027, -0.08592892, 113.7291, 23.64962
3.572267, 26.67891, -27.28879, -0.08523929, 114.2365, 30.17179
3.620761, 26.56163, -27.58221, -0.08471179, 114.6141, 35.50256
3.677991, 26.47355, -27.77972, -0.08435512, 114.8645, 20.05827
3.763241, 25.96836, -28.28078, -0.08343142, 115.4851, 33.68261
3.808034, 26.04417, -28.48424, -0.08297926, 115.7309, 25.64562
3.849998, 25.9393, -28.68933, -0.08245403, 115.9752, 27.36369
3.919137, 25.66867, -28.99997, -0.08153272, 116.3389, 24.90374
3.968806, 25.51926, -29.31424, -0.0804975, 116.6995, 34.67018
4.024951, 25.28207, -29.63214, -0.07941896, 117.0572, 30.68642
