Time, Distance, CarPositionX, CarPositionY, CarPositionZ, Speed
0, 37.56377, -37.14669, 0.4190098, 124.7249, 5923.531
0.02, 37.58661, -37.2176, 0.4176534, 124.7872, 16.99187
0.1636773, 37.29799, -37.7318, 0.4078455, 125.2292, 16.99167
0.2826106, 36.95901, -38.164, 0.3996448, 125.5873, 16.99156
0.3600361, 36.71814, -38.44849, 0.3942696, 125.8166, 16.99168
0.4221204, 36.55568, -38.67821, 0.389942, 125.9985, 16.99213
0.4830295, 36.388, -38.90495, 0.3856822, 126.1752, 16.99189
0.5378788, 36.33773, -39.11052, 0.3818325, 126.3325, 16.99205
0.5927868, 36.14119, -39.31736, 0.377969, 126.4886, 16.99218
0.6425688, 35.92066, -39.50568, 0.3744593, 126.6291, 16.99168
0.6942087, 35.85379, -39.70186, 0.3708115, 126.7737, 16.99177
0.7403453, 35.61571, -39.8782, 0.3675442, 126.9014, 16.99204
0.7896101, 35.53778, -40.06709, 0.3640512, 127.037, 16.99211
0.8392761, 35.46143, -40.2583, 0.3605243, 127.1726, 16.99206
0.8893956, 35.23959, -40.45215, 0.3569597, 127.3081, 16.99157
0.9379944, 35.15772, -40.64061, 0.3535002, 127.4388, 16.99206
0.9893552, 34.9396, -40.84097, 0.3498381, 127.5753, 16.99187
1.046285, 34.74514, -41.06361, 0.3457763, 127.7257, 16.99196
1.096879, 34.67025, -41.26249, 0.3421625, 127.8578, 16.99195
1.144903, 34.43546, -41.45187, 0.3387303, 127.9823, 16.99182
1.199147, 34.37587, -41.66648, 0.3348515, 128.1219, 16.99203
1.244708, 34.12903, -41.8476, 0.331592, 128.2378, 16.99181
1.292963, 34.0425, -42.0397, 0.3281392, 128.3601, 16.99145
1.33993, 33.94982, -42.22767, 0.3247778, 128.4775, 16.9922
1.392767, 33.73347, -42.4394, 0.3209962, 128.6093, 16.99219
1.447252, 33.52354, -42.65888, 0.3170972, 128.7433, 16.99201
1.506295, 33.33322, -42.89738, 0.3128732, 128.8873, 16.99205
1.561564, 33.12605, -43.12126, 0.3089203, 129.0212, 16.99126
1.612917, 33.05115, -43.33039, 0.305251, 129.1437, 16.99234
1.662017, 32.8167, -43.53044, 0.301743, 129.2606, 16.9917
1.710119, 32.72752, -43.72742, 0.298311, 129.3735, 16.99194
1.756466, 32.63094, -43.91739, 0.2950051, 129.4819, 16.99197
1.797502, 32.51108, -44.08615, 0.2920816, 129.5769, 16.99223
1.839166, 32.3941, -44.25792, 0.2891161, 129.6726, 16.99142
1.881162, 32.12938, -44.43112, 0.2861275, 129.7689, 16.99188
1.926039, 32.02774, -44.61718, 0.2829419, 129.8701, 16.99254
1.967445, 31.91192, -44.78884, 0.2800027, 129.9635, 16.99189
2.010975, 31.80581, -44.96992, 0.276919, 130.0605, 16.99166
2.057391, 31.71273, -45.16339, 0.2736347, 130.1633, 16.99179
2.10338, 31.46938, -45.35541, 0.2703847, 130.2645, 16.99199
2.152188, 31.38682, -45.5599, 0.2669441, 130.3705, 16.99217
2.199116, 31.29611, -45.75664, 0.2636377, 130.4722, 16.99208
2.246287, 31.05703, -45.95527, 0.2603266, 130.5727, 16.99203
2.288766, 30.94617, -46.13414, 0.2573448, 130.6633, 16.99195
2.32865, 30.82337, -46.30269, 0.2545555, 130.7471, 16.99192
2.380703, 30.6045, -46.52293, 0.2509193, 130.8559, 16.99185
2.420488, 30.48063, -46.69159, 0.2481464, 130.9384, 16.9917
2.463904, 30.37239, -46.87613, 0.2451297, 131.0275, 16.99171
2.506451, 30.26028, -47.05698, 0.2421733, 131.1147, 16.99243
2.543765, 30.12446, -47.21626, 0.2395949, 131.1898, 16.99174
2.583002, 29.99699, -47.38379, 0.2368846, 131.2687, 16.99224
2.62017, 29.86021, -47.5426, 0.23432, 131.3432, 16.99157
2.663745, 29.75124, -47.72945, 0.2313293, 131.4291, 16.99236
2.709454, 29.65172, -47.92546, 0.2281922, 131.5192, 16.99171
2.761027, 29.4265, -48.14742, 0.2246744, 131.6191, 16.99211
2.811834, 29.34887, -48.36626, 0.2212136, 131.7171, 16.99188
2.860866, 29.11167, -48.57788, 0.2178867, 131.8107, 16.99169
2.908511, 29.01942, -48.78405, 0.2146697, 131.9005, 16.99219
2.948728, 28.89426, -48.95807, 0.2119542, 131.9763, 16.99183
2.993467, 28.78873, -49.15231, 0.2089557, 132.059, 16.99168
3.041222, 28.54442, -49.35986, 0.205762, 132.1469, 16.99201
3.088298, 28.44904, -49.56464, 0.2026202, 132.2331, 16.99138
3.137191, 28.36132, -49.77804, 0.1993842, 132.3209, 16.99254
3.182003, 28.10314, -49.97363, 0.1964184, 132.4013, 16.99205
3.224781, 27.98803, -50.16081, 0.1936064, 132.477, 16.99174
3.272575, 27.89508, -50.37027, 0.1904785, 132.5607, 16.99191
3.322201, 27.65753, -50.58783, 0.1872338, 132.6474, 16.99221
3.373309, 27.57884, -50.8127, 0.1839295, 132.7347, 16.99178
3.422636, 27.33936, -51.02974, 0.1807404, 132.8189, 16.99224
3.489239, 27.17624, -51.32365, 0.1764775, 132.9304, 16.99175
3.550569, 26.9896, -51.59452, 0.1725639, 133.0324, 16.99171
3.609214, 26.79042, -51.85439, 0.1688684, 133.1276, 16.99218
3.66689, 26.58714, -52.11007, 0.1652394, 133.2211, 16.9918
3.718659, 26.51087, -52.34023, 0.1620227, 133.303, 16.99196
3.766053, 26.26158, -52.55107, 0.1590854, 133.3777, 16.99202
3.811107, 26.1553, -52.75177, 0.15631, 133.448, 16.99159
3.854522, 26.04139, -52.94557, 0.1536627, 133.5145, 16.99161
3.893537, 25.90783, -53.11973, 0.1512837, 133.5743, 16.9923
3.935683, 25.78791, -53.30822, 0.1487383, 133.6378, 16.9918
3.984551, 25.5434, -53.52708, 0.14581, 133.7106, 16.99224
4.030813, 25.44146, -53.73429, 0.1430386, 133.7794, 16.99228
4.075874, 25.33353, -53.93676, 0.1403884, 133.8445, 16.99141
4.113597, 25.19275, -54.10625, 0.1381698, 133.899, 16.99204
4.153706, 25.06248, -54.28656, 0.1358183, 133.9566, 16.99216
4.201242, 24.80974, -54.5008, 0.1330781, 134.0232, 16.99177
4.241636, 24.68007, -54.68286, 0.1307496, 134.0798, 16.99202
4.292531, 24.59709, -54.91263, 0.1278506, 134.1498, 16.99182
4.338848, 24.49339, -55.12201, 0.1252375, 134.2126, 16.99194
4.387939, 24.24627, -55.34403, 0.1224776, 134.2789, 16.99206
4.433033, 24.13645, -55.54847, 0.1199917, 134.338, 16.99203
4.476133, 24.0177, -55.74387, 0.1176157, 134.3946, 16.99199
4.516468, 23.88629, -55.92699, 0.1154197, 134.4466, 16.99159
4.555805, 23.75016, -56.10583, 0.1133045, 134.4964, 16.99227
4.593009, 23.60442, -56.27497, 0.111304, 134.5436, 16.99134
4.633342, 23.47245, -56.45861, 0.1091666, 134.5937, 16.99196
4.674008, 23.34178, -56.644, 0.1070377, 134.6434, 16.99205
4.708359, 23.18278, -56.80059, 0.1052394, 134.6854, 16.99211
4.742136, 23.02095, -56.95477, 0.1034956, 134.726, 16.99188
4.791832, 22.93037, -57.18191, 0.100968, 134.7845, 16.99203
4.844342, 22.69563, -57.42197, 0.09830491, 134.846, 16.99191
4.900826, 22.47818, -57.68078, 0.09552029, 134.9099, 16.99201
4.942733, 22.35242, -57.87281, 0.09345428, 134.9574, 16.9921
4.978802, 22.35729, -58.03837, 0.09171917, 134.997, 16.99196
5.012873, 22.19603, -58.19487, 0.09009524, 135.0339, 16.99179
5.044343, 22.02315, -58.33942, 0.08859534, 135.0681, 16.99178
5.072805, 21.99392, -58.47024, 0.08725243, 135.0986, 16.99189
5.101763, 21.80947, -58.60357, 0.08592191, 135.1287, 16.99187
5.130716, 21.78235, -58.73687, 0.08459161, 135.1587, 16.99166
5.158226, 21.74883, -58.86353, 0.08332761, 135.1873, 16.99235
5.185594, 21.55737, -58.98962, 0.0820868, 135.2153, 16.99173
5.212582, 21.52133, -59.11416, 0.08089527, 135.2421, 16.99223
5.238831, 21.48207, -59.23529, 0.07973634, 135.2681, 16.99207
5.277775, 21.3428, -59.415, 0.07801694, 135.3067, 16.99218
5.312675, 21.18525, -59.57629, 0.07652129, 135.3401, 16.99191
5.34546, 21.01835, -59.72788, 0.07513162, 135.3712, 16.99158
5.379411, 21.01408, -59.88487, 0.07369246, 135.4033, 16.99194
5.40955, 20.83559, -60.02446, 0.07246021, 135.4307, 16.99222
5.437146, 20.80285, -60.1523, 0.0713378, 135.4556, 16.99219
5.465254, 20.61523, -60.28251, 0.07019456, 135.481, 16.99151
5.494213, 20.58778, -60.41679, 0.06904464, 135.5065, 16.99221
5.522933, 20.40069, -60.55007, 0.06792782, 135.5313, 16.99175
5.55174, 20.37194, -60.68375, 0.06680766, 135.556, 16.99227
5.578345, 20.33323, -60.80725, 0.06578247, 135.5787, 16.99177
5.60465, 20.13445, -60.92954, 0.0648085, 135.6002, 16.99206
5.632238, 20.10005, -61.05778, 0.06378708, 135.6228, 16.99184
5.659422, 20.06397, -61.18415, 0.06278058, 135.645, 16.99186
5.686851, 19.87063, -61.31181, 0.06180302, 135.6665, 16.99221
5.715786, 19.84249, -61.44653, 0.0607878, 135.6889, 16.99158
5.742998, 19.64869, -61.57323, 0.05983309, 135.7099, 16.99231
5.770957, 19.61642, -61.70349, 0.05887333, 135.731, 16.99141
5.79827, 19.58117, -61.83087, 0.0579702, 135.7509, 16.99237
5.824617, 19.38377, -61.95374, 0.05709905, 135.7701, 16.99199
5.864177, 19.24589, -62.1383, 0.05581479, 135.7983, 16.99157
5.900443, 19.09309, -62.30769, 0.05469201, 135.823, 16.9924
5.935569, 19.09322, -62.47174, 0.05360455, 135.847, 16.99202
5.973094, 18.94611, -62.64719, 0.05250562, 135.8712, 16.99165
6.008747, 18.79068, -62.81394, 0.05148016, 135.8938, 16.99212
6.038486, 18.76659, -62.95305, 0.05063224, 135.9125, 16.9918
6.065369, 18.57161, -63.07895, 0.04992054, 135.9283, 16.99215
6.092358, 18.53502, -63.20535, 0.04920603, 135.9441, 16.99219
6.120916, 18.34773, -63.3391, 0.04844999, 135.9609, 16.99191
6.151127, 18.32545, -63.48073, 0.04770783, 135.9774, 16.99223
6.179356, 18.29431, -63.61309, 0.04702299, 135.9927, 16.99188
6.207097, 18.1031, -63.74318, 0.04636207, 136.0075, 16.99151
6.237848, 18.08306, -63.88751, 0.04568131, 136.0229, 16.99203
6.266992, 17.89795, -64.0243, 0.04503614, 136.0374, 16.99229
6.294087, 17.86146, -64.15155, 0.04447379, 136.0502, 16.99207
6.322972, 17.67487, -64.28725, 0.04389794, 136.0633, 16.99143
6.353686, 17.65458, -64.43154, 0.04328942, 136.0773, 16.99168
6.382688, 17.4682, -64.56791, 0.04277752, 136.0892, 16.99212
6.411239, 17.43799, -64.70216, 0.04227355, 136.1009, 16.99174
6.441238, 17.25594, -64.84327, 0.04177947, 136.1126, 16.99172
6.471869, 17.23476, -64.98741, 0.04131146, 136.1238, 16.99217
6.50476, 17.06547, -65.1422, 0.04082101, 136.1356, 16.99183
6.537249, 17.05233, -65.2952, 0.04040458, 136.146, 16.99259
6.569398, 16.8794, -65.44659, 0.0399925, 136.1563, 16.99111
6.602283, 16.70932, -65.60154, 0.03964674, 136.1653, 16.99184
6.63291, 16.68766, -65.74586, 0.03933249, 136.1737, 16.9927
6.662602, 16.50308, -65.88582, 0.03907125, 136.181, 16.9917
6.691363, 16.4728, -66.02141, 0.03884604, 136.1875, 16.9915
6.722569, 16.29463, -66.16856, 0.03864364, 136.1939, 16.99251
6.752125, 16.26765, -66.30797, 0.03847975, 136.1994, 16.99256
6.783705, 16.09074, -66.45693, 0.03835315, 136.2044, 16.99135
6.817679, 16.08318, -66.61721, 0.03824496, 136.2093, 16.99142
6.849753, 15.90806, -66.76856, 0.03820457, 136.2129, 16.99223
6.879951, 15.88459, -66.91107, 0.03818338, 136.2148, 16.99117
6.909551, 15.70122, -67.05078, 0.03817561, 136.2148, 16.99141
6.939902, 15.68033, -67.19404, 0.03816764, 136.2148, 16.99199
6.96968, 15.49796, -67.3346, 0.03815982, 136.2148, 16.99308
7.000118, 15.31863, -67.47826, 0.03815182, 136.2148, 16.99159
7.028851, 15.29069, -67.61388, 0.03814428, 136.2149, 16.99199
7.057514, 15.26254, -67.74918, 0.03813675, 136.2149, 16.99257
7.087086, 15.07948, -67.88876, 0.03812899, 136.2149, 16.9917
7.12589, 14.93874, -68.07191, 0.03811879, 136.2149, 16.99184
7.15633, 14.91905, -68.21558, 0.0381108, 136.2149, 16.99211
7.187737, 14.74458, -68.36383, 0.03810256, 136.2149, 16.99217
7.231076, 14.62499, -68.56839, 0.03809118, 136.2149, 16.99205
7.266395, 14.46864, -68.73509, 0.0380819, 136.2149, 16.99175
7.296696, 14.4487, -68.87811, 0.03807394, 136.2149, 16.99199
7.329471, 14.28075, -69.03281, 0.03806534, 136.2149, 16.99236
