cyclist_dataX,cyclist_dataY
-257.8791,0.04600371
-257.555,0.04600412
-257.1874,0.04600455
-256.82,0.04600494
-256.3425,0.04600541
-255.7177,0.04600593
-255.0091,0.04600641
-254.4982,0.04600669
-254.0473,0.0460069
-253.6039,0.04600706
-253.2059,0.04600719
-252.6958,0.04600732
-252.2338,0.04600741
-251.8487,0.04600747
-251.4343,0.04600752
-250.9694,0.04600756
-250.4718,0.04600759
-249.9095,0.04600761
-249.0816,0.04600763
-248.2766,0.04600763
-247.7136,0.04600763
-247.1971,0.04600769
-246.7281,0.0460078
-246.1744,0.046008
-245.5719,0.04600827
-245.031,0.04600856
-244.4612,0.0460089
-244.014,0.04600918
-243.6637,0.04600941
-243.1735,0.04600975
-242.7445,0.04601004
-242.1857,0.04601044
-241.5569,0.0460109
-240.7401,0.04601149
-239.8699,0.04601211
-239.3835,0.04601245
-238.9057,0.04601277
-238.5136,0.04601303
-237.9385,0.04601341
-237.3216,0.04601379
-236.694,0.04601416
-236.2363,0.04601441
-235.6918,0.0460147
-235.2853,0.04601489
-234.7876,0.04601512
-234.0737,0.04601541
-233.6755,0.04601556
-233.1414,0.04601573
-232.7186,0.04601586
-232.1398,0.04601599
-231.4839,0.04601612
-230.8395,0.04601618
-229.862,0.04601623
-228.955,0.04601613
-228.1883,0.04601606
-227.3098,0.04601575
-226.3505,0.04601542
-225.1341,0.04589611
-223.9373,0.04534512
-222.7147,0.04450085
-221.3514,0.04334941
-219.8363,0.041902
-218.5997,0.0406359
-217.5882,0.0395625
-216.8258,0.03874008
-216.2725,0.03813925
-215.6264,0.03743505
-215.0949,0.03685616
-214.4249,0.03612997
-213.962,0.03562997
-213.3623,0.03499373
-212.6445,0.03424498
-211.848,0.03343782
-210.9841,0.03260296
-209.5156,0.03137012
-207.9431,0.03047686
-206.9429,0.03039394
-206.0227,0.0304445
-205.0786,0.03049758
-204.1824,0.03054797
-203.2221,0.03060196
-202.1745,0.03066086
-201.0841,0.03072216
-199.9402,0.03078647
-198.4567,0.03086988
-197.1641,0.03094255
-196.186,0.03099754
-195.2699,0.03104904
-194.4947,0.03109263
-193.6178,0.03114192
-192.76,0.03119015
-191.9893,0.03123348
-191.128,0.0312819
-190.3685,0.0313246
-189.4645,0.03137543
-188.3885,0.03143592
-186.8152,0.03152438
-185.515,0.03159747
-184.433,0.03165831
-183.4752,0.03171216
-182.6973,0.03175589
-181.8471,0.03180369
-180.9753,0.03185271
-180.0193,0.03190645
-179.0059,0.03196342
-177.8916,0.03202607
-176.6659,0.03209499
-175.3672,0.032168
-174.3636,0.03222442
-173.3049,0.03228394
-172.3604,0.03233705
-171.4893,0.03238602
-170.7165,0.03242947
-169.965,0.03247172
-169.101,0.03252029
-168.1891,0.03257156
-167.2058,0.03262684
-165.9936,0.032695
-164.6821,0.03276873
-163.5536,0.03283218
-162.6544,0.03288273
-161.7357,0.03293438
-160.8249,0.03298559
-159.9386,0.03303542
-158.8962,0.03309402
-157.9137,0.03314926
-156.9726,0.03320217
-156.0409,0.03325455
-155.1042,0.03330721
-153.9758,0.03337066
-152.6156,0.03344713
-151.0422,0.03353558
-150.1017,0.03358846
-149.1076,0.03364435
-148.1682,0.03369717
-147.2248,0.03375021
-146.4089,0.03379608
-145.6696,0.03383764
-144.9025,0.03388077
-144.05,0.0339287
-143.0409,0.03398543
-141.9496,0.03404679
-141.0061,0.03409983
-140.1797,0.03414629
-139.4118,0.03418946
-138.5497,0.03423793
-137.7627,0.03428218
-136.983,0.03432601
-136.1935,0.0343704
-135.342,0.03441827
-134.4386,0.03446906
-133.5639,0.03451825
-132.5695,0.03457415
-131.5679,0.03463046
-130.3685,0.03469789
-129.6087,0.03474061
-128.907,0.03478006
-128.0814,0.03482647
-127.2766,0.03487172
-126.4088,0.03492051
-125.6182,0.03496496
-124.8055,0.03501065
-124.0587,0.03505264
-123.232,0.03509912
-122.3924,0.03514632
-121.5644,0.03519287
-119.991,0.03528133
-118.5339,0.03536325
-116.9605,0.03545171
-115.3872,0.03554016
-113.8139,0.03562862
-112.2405,0.03571707
-111.0969,0.03578137
-109.8692,0.03585039
-108.5595,0.03592402
-107.7689,0.03596848
-106.8307,0.03602122
-105.8365,0.03607712
-104.9516,0.03612687
-104.0922,0.03617518
-103.2549,0.03622226
-102.6148,0.03625825
-101.912,0.03629776
-101.3632,0.03632861
-100.6649,0.03636787
-99.85926,0.03641317
-98.49857,0.03648967
-96.92524,0.03657812
-95.3519,0.03666658
-93.77856,0.03675503
-92.45009,0.03682972
-91.54016,0.03688088
-90.78745,0.0369232
-89.89312,0.03697348
-88.99213,0.03702413
-87.91487,0.03708469
-87.28627,0.03712004
-86.58324,0.03715956
-85.66377,0.03721126
-84.44978,0.03727951
-83.1523,0.03735245
-81.96632,0.03741913
-80.83263,0.03748287
-79.88371,0.03753622
-78.82253,0.03759588
-78.07812,0.03763773
-77.35877,0.03767817
-76.54298,0.03772404
-76.04736,0.03775191
-75.39059,0.03778883
-74.61555,0.0378324
-73.6425,0.03788711
-72.47647,0.03795267
-71.53899,0.03800537
-70.67665,0.03805386
-70.25726,0.03807743
-69.66868,0.03811052
-68.86155,0.0381559
-68.05338,0.03820134
-67.20561,0.038249
-66.69079,0.03827795
-66.04853,0.03945424
-65.31407,0.04247291
-64.50352,0.04750811
-63.84116,0.0526974
-63.20741,0.05838589
-62.45711,0.06588531
-61.67729,0.0743653
-60.82013,0.0842678
-59.87112,0.09571584
-58.98999,0.1065724
-58.20319,0.1162895
-57.42025,0.1258536
-56.92463,0.1318072
-56.24506,0.1397628
-55.7121,0.1458274
-55.03838,0.1531648
-54.32951,0.1604298
-53.87769,0.1647773
-53.25837,0.1703163
-52.47729,0.1766166
-51.75102,0.1816391
-50.98157,0.1859874
-50.10631,0.1895923
-49.19011,0.1916699
-48.37222,0.1917053
-47.56044,0.1899385
-46.83363,0.1866019
-46.04639,0.1811447
-45.30099,0.1737747
-44.53428,0.1637558
-43.77521,0.1511954
-43.07568,0.1371056
-42.17181,0.1147312
-41.30053,0.08820849
-40.58265,0.06194262
-39.67419,0.0224093
-38.32413,-0.0525743
-37.00283,-0.1507885
