Time, Distance, CarPositionX, CarPositionY, CarPositionZ, Speed
0, 67.34563, -17.05, -0.003920317, 88.44, 0.705657
0.02, 67.34561, -17.05, -0.01105732, 88.44, 1.28466
0.0831232, 67.34552, -17.05001, -0.04826957, 88.43999, 2.122264
0.1287202, 67.34547, -17.05002, -0.07274878, 88.43999, 1.932697
0.1660411, 67.34529, -17.05003, -0.08133501, 88.43998, 0.8282365
0.2039864, 67.34516, -17.05004, -0.07405484, 88.43996, 0.6906962
0.2441228, 67.3453, -17.05, -0.06003433, 88.43997, 1.257561
0.2812876, 67.34571, -17.04993, -0.04939449, 88.44, 1.030668
0.3176266, 67.34593, -17.04989, -0.04717046, 88.44002, 0.2203656
0.3518933, 67.34623, -17.04986, -0.04889625, 88.44004, 0.1813497
0.3868363, 67.34621, -17.04987, -0.05535531, 88.44005, 0.6654457
0.4213851, 67.34586, -17.0499, -0.06137371, 88.44003, 0.627129
0.4578882, 67.34561, -17.04992, -0.06307161, 88.44002, 0.1674632
0.4935893, 67.34515, -17.04994, -0.06331354, 88.43999, 0.02469748
0.5282649, 67.34501, -17.04995, -0.06062704, 88.43997, 0.2789171
0.5623625, 67.34527, -17.04994, -0.05748206, 88.43997, 0.3320476
0.598157, 67.34549, -17.04992, -0.05639207, 88.43998, 0.1096357
0.6330941, 67.34592, -17.04989, -0.05570453, 88.44, 0.07096362
0.6693959, 67.34618, -17.04987, -0.05665976, 88.44002, 0.09477226
0.7039754, 67.34618, -17.04985, -0.05817235, 88.44002, 0.1574784
0.7385667, 67.34608, -17.04985, -0.05879301, 88.44001, 0.06460001
0.7723546, 67.34579, -17.04985, -0.0593881, 88.44, 0.06341057
0.8070113, 67.34551, -17.04985, -0.05913997, 88.43999, 0.02582692
0.8420067, 67.34538, -17.04986, -0.05847842, 88.43998, 0.06805994
0.8777723, 67.34541, -17.04986, -0.05816001, 88.43998, 0.03205005
0.9116239, 67.34555, -17.04986, -0.05777258, 88.43998, 0.04120235
0.945943, 67.34575, -17.04986, -0.05778056, 88.43998, 0.00086138
0.9816023, 67.34583, -17.04986, -0.0578928, 88.43998, 0.01133242
1.016544, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.050709, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.086444, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.120977, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.154668, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.189397, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.223425, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.25792, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.293936, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.328744, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.362998, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.397262, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.430433, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.464518, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.500853, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.53557, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.569354, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.603801, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.637252, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.671588, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.706801, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.745658, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.780427, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.81699, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.852282, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.886203, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.922519, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.959315, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.995349, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.031785, 67.34583, -17.04986, -0.0578928, 88.43998, 0
