Time, Distance, CarPositionX, CarPositionY, CarPositionZ, Speed
0, 67.34563, -17.05, -0.003920317, 88.44, 0.705657
0.02, 67.34561, -17.05, -0.01105732, 88.44, 1.28466
0.122348, 67.34547, -17.05002, -0.07274878, 88.43999, 2.169942
0.1796891, 67.34529, -17.05003, -0.08133501, 88.43998, 0.5390642
0.2329248, 67.34519, -17.05003, -0.06718516, 88.43996, 0.9568669
0.2871527, 67.34571, -17.04993, -0.04939449, 88.44, 1.181082
0.3458106, 67.34623, -17.04986, -0.04889625, 88.44004, 0.03094006
0.3959536, 67.34621, -17.04987, -0.05535531, 88.44005, 0.4637272
0.4445075, 67.34561, -17.04992, -0.06307161, 88.44002, 0.572134
0.4907769, 67.34515, -17.04994, -0.06331354, 88.43999, 0.01905638
0.5383876, 67.34501, -17.04995, -0.06062704, 88.43997, 0.2031396
0.5845061, 67.34549, -17.04992, -0.05639207, 88.43998, 0.3305879
0.637682, 67.34592, -17.04989, -0.05570453, 88.44, 0.04662381
0.6897077, 67.34621, -17.04986, -0.05742109, 88.44002, 0.1188055
0.7357304, 67.34608, -17.04985, -0.05879301, 88.44001, 0.107319
0.7832025, 67.34563, -17.04985, -0.05934954, 88.43999, 0.0422199
0.8321664, 67.34542, -17.04985, -0.05882597, 88.43998, 0.03851189
0.8788414, 67.34541, -17.04986, -0.05816001, 88.43998, 0.05136593
0.927988, 67.34566, -17.04986, -0.05773193, 88.43998, 0.03135731
0.9757451, 67.34583, -17.04986, -0.0578928, 88.43998, 0.01213025
1.02397, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.074277, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.117608, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.162011, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.209258, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.253877, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.298446, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.341408, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.392506, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.438202, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.481688, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.523978, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.565547, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.608578, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.652536, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.697042, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.744179, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.785828, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.830784, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.872591, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.914172, 67.34583, -17.04986, -0.0578928, 88.43998, 0
1.960568, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.008368, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.052578, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.098298, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.139807, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.184191, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.226952, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.270143, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.312046, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.353386, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.394925, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.439365, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.485284, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.530731, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.574323, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.616464, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.662119, 67.34583, -17.04986, -0.0578928, 88.43998, 0
2.70684, 67.34583, -17.04986, -0.0578928, 88.43998, 0
