id,video_id,interaction,interaction_type,distance,overtake,video_length,min_dur,max_dur
0,V0,bike_laser_projection,0,0.8,14100,19366,18366,20366
1,V1,bike_laser_projection,0,1.6,14100,19366,18366,20366
2,V2,bike_laser_projection,0,2.4,14100,19366,18366,20366
3,V3,vertical_sign,1,0.8,14100,19366,18366,20366
4,V4,vertical_sign,1,1.6,14100,19366,18366,20366
5,V5,vertical_sign,1,2.4,14100,19366,18366,20366
6,V6,road_markings,2,0.8,14100,19366,18366,20366
7,V7,road_markings,2,1.6,14100,19366,18366,20366
8,V8,road_markings,2,2.4,14100,19366,18366,20366
9,V9,car_laser_projection,3,0.8,14100,19366,18366,20366
10,V10,car_laser_projection,3,1.6,14100,19366,18366,20366
11,V11,car_laser_projection,3,2.4,14100,19366,18366,20366
12,V12,control,4,0.8,14100,19366,18366,20366
13,V13,control,4,1.6,14100,19366,18366,20366
14,V14,control,4,2.4,14100,19366,18366,20366
15,V15,unprotected_cycling_path,5,0.8,14100,19366,18366,20366
16,V16,unprotected_cycling_path,5,1.6,14100,19366,18366,20366
17,V17,unprotected_cycling_path,5,2.4,14100,19366,18366,20366
18,V18,no_road_markings,6,0.8,14100,19366,18366,20366
19,V19,no_road_markings,6,1.6,14100,19366,18366,20366
20,V20,no_road_markings,6,2.4,14100,19366,18366,20366
