in,out,start,end
0_0_baseline_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-14_11-06,video_0,00:00:00.016,00:00:35.016
1_1_overtake_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-14_11-13,video_1,00:00:00.400,00:00:32.400
2_2_small_gap_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-14_11-20,video_2,00:00:00.016,00:00:35.016
3_3_abrupt_break_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-14_11-26,video_3,00:00:04.516,00:00:39.516
4_4_abrupt_break_withoutfrontcar_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-14_11-32,video_4,00:00:04.666,00:00:41.666
5_5_late_start_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-14_11-39,video_5,00:00:00.016,00:00:36.016
6_6_late_start 1_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-14_11-45,video_6,00:00:00.016,00:00:36.016
7_7_cut_off_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-14_11-50,video_7,00:00:00.416,00:00:24.416
8_8_cut_up_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-14_11-54,video_8,00:00:00.300,00:00:37.300
9_9_flashes_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-14_11-58,video_9,00:00:05.466,00:00:28.466
10_10_platoon_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-15_12-01,video_10,00:00:05.633,00:00:39.633
11_11_slow_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-15_12-04,video_11,00:00:00.333,00:00:30.333
12_12_changing_lines_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-15_12-07,video_12,00:00:00.033,00:00:27.033
13_13_center_line_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-15_12-10,video_13,00:00:00.566,00:00:30.566
14_14_platoon_lowers_speed_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-15_12-13,video_14,00:00:00.350,00:00:42.350
15_15_pedestrian_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-15_12-17,video_15,00:00:00.033,00:00:24.033
16_16_large_gap_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-15_12-20,video_16,00:00:00.016,00:00:25.016
17_17_traffic_lights_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-15_12-24,video_17,00:00:01.983,00:00:36.983
18_18_overtaken_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-15_12-27,video_18,00:00:01.250,00:00:29.250
19_19_speed_limit_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-15_12-30,video_19,00:00:00.033,00:00:22.033
20_20_target_breaks_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-15_12-33,video_20,00:00:09.916,00:00:39.916
21_21_avoid_pedestrian_roleIdx-0_target_labeled-false_ego_labeled-false_23-06-15_12-37,video_21,00:00:07.616,00:00:35.616
0_0_baseline_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-14_11-06,video_22,00:00:00.016,00:00:35.016
1_1_overtake_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-14_11-13,video_23,00:00:00.400,00:00:32.400
2_2_small_gap_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-14_11-20,video_24,00:00:00.016,00:00:35.016
3_3_abrupt_break_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-14_11-26,video_25,00:00:04.516,00:00:39.516
4_4_abrupt_break_withoutfrontcar_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-14_11-32,video_26,00:00:04.666,00:00:41.666
5_5_late_start_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-14_11-39,video_27,00:00:00.016,00:00:36.016
6_6_late_start 1_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-14_11-45,video_28,00:00:00.016,00:00:36.016
7_7_cut_off_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-14_11-50,video_29,00:00:00.416,00:00:24.416
8_8_cut_up_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-14_11-54,video_30,00:00:00.300,00:00:37.300
9_9_flashes_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-14_11-58,video_31,00:00:05.466,00:00:28.466
10_10_platoon_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-15_12-01,video_32,00:00:05.633,00:00:39.633
11_11_slow_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-15_12-04,video_33,00:00:00.333,00:00:30.333
12_12_changing_lines_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-15_12-07,video_34,00:00:00.033,00:00:27.033
13_13_center_line_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-15_12-10,video_35,00:00:00.566,00:00:30.566
14_14_platoon_lowers_speed_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-15_12-13,video_36,00:00:00.350,00:00:42.350
15_15_pedestrian_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-15_12-17,video_37,00:00:00.033,00:00:24.033
16_16_large_gap_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-15_12-20,video_38,00:00:00.016,00:00:25.016
17_17_traffic_lights_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-15_12-24,video_39,00:00:01.983,00:00:36.983
18_18_overtaken_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-15_12-27,video_40,00:00:01.250,00:00:29.250
19_19_speed_limit_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-15_12-30,video_41,00:00:00.033,00:00:22.033
20_20_target_breaks_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-15_12-33,video_42,00:00:09.916,00:00:39.916
21_21_avoid_pedestrian_roleIdx-0_target_labeled-true_ego_labeled-false_23-06-15_12-37,video_43,00:00:07.616,00:00:35.616
0_0_baseline_roleIdx-0_target_labeled-false_ego_labeled-true_23-06-14_11-06,video_44,00:00:00.016,00:00:35.016
1_1_overtake_roleIdx-0_target_labeled-false_ego_labeled-true_23-06-14_11-13,video_45,00:00:00.400,00:00:32.400
2_2_small_gap_roleIdx-0_target_labeled-false_ego_labeled-true_23-06-14_11-20,video_46,00:00:00.016,00:00:35.016
3_3_abrupt_break_roleIdx-0_target_labeled-false_ego_labeled-true_23-06-14_11-26,video_47,00:00:04.516,00:00:39.516
4_4_abrupt_break_withoutfrontcar_roleIdx-0_target_labeled-false_ego_labeled-true_23-06-14_11-32,video_48,00:00:04.666,00:00:41.666
5_5_late_start_roleIdx-0_target_labeled-false_ego_labeled-true_23-06-14_11-39,video_49,00:00:00.016,00:00:36.016
6_6_late_start 1_roleIdx-0_target_labeled-false_ego_labeled-true_23-06-14_11-45,video_50,00:00:00.016,00:00:36.016
7_7_cut_off_roleIdx-0_target_labeled-false_ego_labeled-true_23-06-14_11-50,video_51,00:00:00.416,00:00:24.416
8_8_cut_up_roleIdx-0_target_labeled-false_ego_labeled-true_23-06-14_11-54,video_52,00:00:00.300,00:00:37.300
9_9_flashes_roleIdx-0_target_labeled-false_ego_labeled-true_23-06-14_11-58,video_53,00:00:05.466,00:00:28.466
